"Pathway Name","CLB Full-Stack Developer Resources"
"Pathway Description","Valuable links for each of the projects we're on."
"Content Warning",""
"Acknowledgments",""
"Created By","allanhaggett"
"Created Date","2025-10-15T01:37:12.638Z"
"Modified By","allanhaggett"
"Version","5dv8al-2025-10-15"
"Last Updated","2025-10-15T02:20:32.328Z"
"Total Steps","5"
"Total Bookmarks","10"
""
"Step","Title","URL","Description","Context","Type","Content Type","Sort Order"
"GitHub","B.C. government DevHub | Application developer guide | Use Github In Bcgov | Bc Government Organizations In Github","https://developer.gov.bc.ca/docs/default/component/bc-developer-guide/use-github-in-bcgov/bc-government-organizations-in-github/#directions-to-sign-up-and-link-your-account-for-bcgov","The B.C. government DevHub is a place to access common technical documentation, community knowledge bases, code samples and APIs.","Create an account, get joined to the ""BCGov"" GitHub org.","Required","read","0"
"GitHub","bcgov","https://github.com/bcgov","This is the home for code that is open. bcgov has 2435 repositories available. Follow their code on GitHub.","The primary BCGOV organization on GitHub. You need to be a member here if you want to make contributions to our open source projects that reside on OpenShift.","Required","read","1"
"LSApp","LSApp (Learning Support Admin Application)","https://gww.bcpublicservice.gov.bc.ca/lsapp/dashboard.php","LSApp (Learning Support Admin Application) acts as middleware between the many different learning systems that CLB deals with.","The application itself. You need an IDIR to request access.","Required","participate","0"
"LSApp","GitHub Project · LSApp","https://github.com/orgs/PSA-Corporate-Learning-Branch/projects/5/views/1","The main organizational project management interface. All application level changes go through this project using GitHub issues to tie changes to code.","This is where to go to create issues and look at the state of the project.","Required","Participate","1"
"LSApp","PSA-Corporate-Learning-Branch/lsapp: LSApp (Learning Support Admin Application)","https://github.com/PSA-Corporate-Learning-Branch/lsapp","LSApp (Learning Support Admin Application) acts as middleware between the many different learning systems that CLB deals with. - PSA-Corporate-Learning-Branch/lsapp","The primary repository for the code.","Required","Participate","2"
"LearningHUB","Home | LearningHUB","https://corporatelearning.gww.gov.bc.ca/learninghub/","The PSA Corporate Learning Branch and its partners offer hundreds of courses, available to all BCPS employees. The LearningHUB is the place to see that full catalogue of corporate offerings.","The site itself. Runs on WordPress, which is on OpenShift but is not under our control. Not sure who actually controls it these days. itservicerequest@gov.bc.ca for support.","Required","read","0"
"LearningHUB","GitHub Project · LearningHUB","https://github.com/orgs/PSA-Corporate-Learning-Branch/projects/4","GitHub Projects are where the planning and development progress tracking happen.","We use a kanban-style system to work in the spirit of agile without much of the dogma.","Required","read","1"
"PSA Moodle","bcgov/moodle-nginx at dev","https://github.com/bcgov/moodle-nginx/tree/dev","Moodle Open-source Learning Management System with OpenShift build using ngnix, mariadb, php-fpm, redis, cron - bcgov/moodle-nginx at dev","There's a whole lot goin' on in here. High-availability is complicated.","Required","participate","0"
"PSA Moodle","GitHiub Project · PSA Moodle","https://github.com/orgs/PSA-Corporate-Learning-Branch/projects/6","GitHub is where people build software. More than 150 million people use GitHub to discover, fork, and contribute to over 420 million projects.","The main project place.","Required","read","1"
"Other Places","RocketChat - BCDevXHQ","https://chat.developer.gov.bc.ca/home","The place where discussion on the OpenShift platform takes place.","Anything OS including immediate support.","Required","read","0"
